"type","location_code","identity","name"
"WARD","00358",1011107,"Phường Phương Liệt"
"WARD","00361",1011115,"Phường Hạ Đình"
"WARD","00364",1011113,"Phường Khương Đình"
"WARD","00367",1011117,"Phường Thanh Xuân Bắc"
"WARD","00370",1011119,"Phường Thanh Xuân Nam"
"WARD","00373",1011121,"Phường Kim Giang"
"WARD","00376",1011501,"Thị trấn Sóc Sơn"
"WARD","00379",1011527,"Xã Bắc Sơn"
"WARD","00382",1011507,"Xã Minh Trí"
"WARD","00385",1011529,"Xã Hồng Kỳ"
"WARD","00388",1011525,"Xã Nam Sơn"
"WARD","00391",1011531,"Xã Trung Giã"
"WARD","00394",1011533,"Xã Tân Hưng"
"WARD","00397",1011509,"Xã Minh Phú"
"DISTRICT","004",10114,"Quận Long Biên"
"WARD","00400",1011547,"Xã Phù Linh"
"WARD","00403",1011535,"Xã Bắc Phú"
"WARD","00406",1011549,"Xã Tân Minh"
"WARD","00409",1011513,"Xã Quang Tiến"
"WARD","00412",1011511,"Xã Hiền Ninh"
"WARD","00415",1011503,"Xã Tân Dân"
"WARD","00418",1011551,"Xã Tiên Dược"
"WARD","00421",1011537,"Xã Việt Long"
"WARD","00424",1011539,"Xã Xuân Giang"
"WARD","00427",1011519,"Xã Mai Đình"
"WARD","00430",1011541,"Xã Đức Hoà"
"WARD","00433",1011505,"Xã Thanh Xuân"
"WARD","00436",1011523,"Xã Đông Xuân"
"WARD","00439",1011545,"Xã Kim Lũ"
"WARD","00442",1011515,"Xã Phú Cường"
"WARD","00445",1011517,"Xã Phú Minh"
"WARD","00448",1011521,"Xã Phù Lỗ"
"WARD","00451",1011543,"Xã Xuân Thu"
"WARD","00454",1011701,"Thị trấn Đông Anh"
"WARD","00457",1011703,"Xã Xuân Nộn"
"WARD","00460",1011735,"Xã Thụy Lâm"
"WARD","00463",1011715,"Xã Bắc Hồng"
"WARD","00466",1011705,"Xã Nguyên Khê"
"WARD","00469",1011713,"Xã Nam Hồng"
"WARD","00472",1011711,"Xã Tiên Dương"
"WARD","00475",1011731,"Xã Vân Hà"
"WARD","00478",1011707,"Xã Uy Nỗ"
"WARD","00481",1011717,"Xã Vân Nội"
"WARD","00484",1011729,"Xã Liên Hà"
"WARD","00487",1011737,"Xã Việt Hùng"
"WARD","00490",1011719,"Xã Kim Nỗ"
"WARD","00493",1011721,"Xã Kim Chung"
"WARD","00496",1011733,"Xã Dục Tú"
"WARD","00499",1011723,"Xã Đại Mạch"
"DISTRICT","005",10113,"Quận Cầu Giấy"
"WARD","00502",1011747,"Xã Vĩnh Ngọc"
"WARD","00505",1011709,"Xã Cổ Loa"
"WARD","00508",1011727,"Xã Hải Bối"
"WARD","00511",1011743,"Xã Xuân Canh"
"WARD","00514",1011725,"Xã Võng La"
"WARD","00517",1011745,"Xã Tầm Xá"
"WARD","00520",1011739,"Xã Mai Lâm"
"WARD","00523",1011741,"Xã Đông Hội"
"WARD","00526",1011927,"Xã Yên Viên"
"WARD","00529",1011925,"Xã Yên Thường"
"WARD","00532",1011927,"Xã Yên Viên"
"WARD","00535",1011917,"Xã Ninh Hiệp"
"WARD","00538",1011915,"Xã Đình Xuyên"
"WARD","00541",1011923,"Xã Dương Hà"
"WARD","00544",1011919,"Xã Phù Đổng"
"WARD","00547",1011921,"Xã Trung Mầu"
"WARD","00550",1011913,"Xã Lệ Chi"
"WARD","00553",1011947,"Xã Cổ Bi"
"WARD","00556",1011967,"Xã Đặng Xá"
"WARD","00559",1011965,"Xã Phú Thị"
"WARD","00562",1011969,"Xã Kim Sơn"
"WARD","00565",1011949,"Thị trấn Trâu Quỳ"
"WARD","00568",1011963,"Xã Dương Quang"
"WARD","00571",1011953,"Xã Dương Xá"
"WARD","00574",1011959,"Xã Đông Dư"
"WARD","00577",1011951,"Xã Đa Tốn"
"WARD","00580",1011955,"Xã Kiêu Kỵ"
"WARD","00583",1011911,"Xã Bát Tràng"
"WARD","00586",1011933,"Xã Kim Lan"
"WARD","00589",1011957,"Xã Văn Đức"
"WARD","00592",1012101,"Phường Cầu Diễn"
"WARD","00595",1015513,"Phường Thượng Cát"
"WARD","00598",1015501,"Phường Liên Mạc"
"DISTRICT","006",10109,"Quận Đống Đa"
"WARD","00601",1015517,"Phường Đông Ngạc"
"WARD","00602",1015521,"Phường Đức Thắng"
"WARD","00604",1015515,"Phường Thụy Phương"
"WARD","00607",1015507,"Phường Tây Tựu"
"WARD","00610",1015505,"Phường Xuân Đỉnh"
"WARD","00611",1015523,"Phường Xuân Tảo"
"WARD","00613",1015509,"Phường Minh Khai"
"WARD","00616",1015503,"Phường Cổ Nhuế 1"
"WARD","00617",1015519,"Phường Cổ Nhuế 2"
"WARD","00619",1015525,"Phường Phú Diễn"
"WARD","00620",1015511,"Phường Phúc Diễn"
"WARD","00622",1012137,"Phường Xuân Phương"
"WARD","00623",1012131,"Phường Phương Canh"
"WARD","00625",1012135,"Phường Mỹ Đình 1"
"WARD","00626",1012103,"Phường Mỹ Đình 2"
"WARD","00628",1012127,"Phường Tây Mỗ"
"WARD","00631",1012125,"Phường Mễ Trì"
"WARD","00632",1012133,"Phường Phú Đô"
"WARD","00634",1012129,"Phường Đại Mỗ"
"WARD","00637",1012123,"Phường Trung Văn"
"WARD","00640",1012301,"Thị trấn Văn Điển"
"WARD","00643",1012335,"Xã Tân Triều"
"WARD","00646",1012327,"Xã Thanh Liệt"
"WARD","00649",1012349,"Xã Tả Thanh Oai"
"WARD","00652",1012347,"Xã Hữu Hoà"
"WARD","00655",1012333,"Xã Tam Hiệp"
"WARD","00658",1012323,"Xã Tứ Hiệp"
"WARD","00661",1012317,"Xã Yên Mỹ"
"WARD","00664",1012339,"Xã Vĩnh Quỳnh"
"WARD","00667",1012313,"Xã Ngũ Hiệp"
"WARD","00670",1012319,"Xã Duyên Hà"
"WARD","00673",1012343,"Xã Ngọc Hồi"
"WARD","00676",1012321,"Xã Vạn Phúc"
"WARD","00679",1012345,"Xã Đại Áng"
"WARD","00682",1012341,"Xã Liên Ninh"
"WARD","00685",1012315,"Xã Đông Mỹ"
"WARD","00688",2010103,"Phường Quang Trung"
"WARD","00691",2010101,"Phường Trần Phú"
"WARD","00692",2010102,"Phường Ngọc Hà"
"WARD","00694",2010105,"Phường Nguyễn Trãi"
"WARD","00697",2010107,"Phường Minh Khai"
"DISTRICT","007",10107,"Quận Hai Bà Trưng"
"WARD","00700",2010109,"Xã Ngọc Đường"
"WARD","00703",2011549,"Xã Kim Thạch"
"WARD","00706",2011547,"Xã Phú Linh"
"WARD","00709",2011551,"Xã Kim Linh"
"WARD","00712",2010301,"Thị trấn Phó Bảng"
"WARD","00715",2010305,"Xã Lũng Cú"
"WARD","00718",2010307,"Xã Má Lé"
"WARD","00721",2010303,"Thị trấn Đồng Văn"
"WARD","00724",2010309,"Xã Lũng Táo"
"WARD","00727",2010313,"Xã Phố Là"
"WARD","00730",2010311,"Xã Thài Phìn Tủng"
"WARD","00733",2010317,"Xã Sủng Là"
"WARD","00736",2010315,"Xã Xà Phìn"
"WARD","00739",2010319,"Xã Tả Phìn"
"WARD","00742",2010320,"Xã Tả Lủng"
"WARD","00745",2010325,"Xã Phố Cáo"
"WARD","00748",2010321,"Xã Sính Lủng"
"WARD","00751",2010327,"Xã Sảng Tủng"
"WARD","00754",2010329,"Xã Lũng Thầu"
"WARD","00757",2010331,"Xã Hố Quáng Phìn"
"WARD","00760",2010333,"Xã Vần Chải"
"WARD","00763",2010335,"Xã Lũng Phìn"
"WARD","00766",2010337,"Xã Sủng Trái"
"WARD","00769",2010501,"Thị trấn Mèo Vạc"
"WARD","00772",2010503,"Xã Thượng Phùng"
"WARD","00775",2010505,"Xã Pải Lủng"
"WARD","00778",2010509,"Xã Xín Cái"
"WARD","00781",2010507,"Xã Pả Vi"
"WARD","00784",2010513,"Xã Giàng Chu Phìn"
"WARD","00787",2010511,"Xã Sủng Trà"
"WARD","00790",2010515,"Xã Sủng Máng"
"WARD","00793",2010519,"Xã Sơn Vĩ"
"WARD","00796",2010533,"Xã Tả Lủng"
"WARD","00799",2010517,"Xã Cán Chu Phìn"
"DISTRICT","008",10108,"Quận Hoàng Mai"
"WARD","00802",2010525,"Xã Lũng Pù"
"WARD","00805",2010521,"Xã Lũng Chinh"
"WARD","00808",2010523,"Xã Tát Ngà"
"WARD","00811",2010527,"Xã Nậm Ban"
"WARD","00814",2010529,"Xã Khâu Vai"
"WARD","00815",2010530,"Xã Niêm Tòng"
"WARD","00817",2010531,"Xã Niêm Sơn"
"WARD","00820",2010701,"Thị trấn Yên Minh"
"WARD","00823",2010705,"Xã Thắng Mố"
"WARD","00826",2010703,"Xã Phú Lũng"
"WARD","00829",2010709,"Xã Sủng Tráng"
"WARD","00832",2010707,"Xã Bạch Đích"
"WARD","00835",2010713,"Xã Na Khê"
"WARD","00838",2010711,"Xã Sủng Thài"
"WARD","00841",2010702,"Xã Hữu Vinh"
"WARD","00844",2010715,"Xã Lao Và Chải"
"WARD","00847",2010717,"Xã Mậu Duệ"
"WARD","00850",2010704,"Xã Đông Minh"
"WARD","00853",2010721,"Xã Mậu Long"
"WARD","00856",2010719,"Xã Ngam La"
"WARD","00859",2010723,"Xã Ngọc Long"
"WARD","00862",2010725,"Xã Đường Thượng"
"WARD","00865",2010727,"Xã Lũng Hồ"
"WARD","00868",2010729,"Xã Du Tiến"
"WARD","00871",2010731,"Xã Du Già"
"WARD","00874",2010901,"Thị trấn Tam Sơn"
"WARD","00877",2010903,"Xã Bát Đại Sơn"
"WARD","00880",2010905,"Xã Nghĩa Thuận"
"WARD","00883",2010907,"Xã Cán Tỷ"
"WARD","00886",2010909,"Xã Cao Mã Pờ"
"WARD","00889",2010911,"Xã Thanh Vân"
"WARD","00892",2010913,"Xã Tùng Vài"
"WARD","00895",2010915,"Xã Đông Hà"
"WARD","00898",2010902,"Xã Quản Bạ"
"DISTRICT","009",10111,"Quận Thanh Xuân"
"WARD","00901",2010917,"Xã Lùng Tám"
"WARD","00904",2010919,"Xã Quyết Tiến"
"WARD","00907",2010921,"Xã Tả Ván"
"WARD","00910",2010923,"Xã Thái An"
"WARD","00913",2011501,"Thị trấn Vị Xuyên"
"WARD","00916",2011537,"Xã Việt Lâm"
"WARD","00919",2011505,"Xã Minh Tân"
"WARD","00922",2011507,"Xã Thuận Hoà"
"WARD","00925",2011513,"Xã Tùng Bá"
"WARD","00928",2011509,"Xã Thanh Thủy"
"WARD","00931",2011511,"Xã Thanh Đức"
"WARD","00934",2011515,"Xã Phong Quang"
"WARD","00937",2011517,"Xã Xín Chải"
"WARD","00940",2011519,"Xã Phương Tiến"
"WARD","00943",2011521,"Xã Lao Chải"
"WARD","00946",2010111,"Xã Phương Độ"
"WARD","00949",2010113,"Xã Phương Thiện"
"WARD","00952",2011527,"Xã Cao Bồ"
"WARD","00955",2011529,"Xã Đạo Đức"
"WARD","00958",2011533,"Xã Thượng Sơn"
"WARD","00961",2011531,"Xã Linh Hồ"
"WARD","00964",2011543,"Xã Quảng Ngần"
