code,zipcode,destcode
INDOBT_BT04_BT0409,42167,CLG20507
INDOBT_BT04_BT0410,42164,CLG20508
INDOBT_BT04_BT0411,42123,CLG20328
INDOBT_BT04_BT0412,42182,CLG20509
INDOBT_BT04_BT0413,42163,CLG20527
INDOBT_BT04_BT0414,42177,CLG20510
INDOBT_BT04_BT0415,42191,CLG20312
INDOBT_BT04_BT0416,42185,CLG20511
INDOBT_BT04_BT0417,42178,CLG20512
INDOBT_BT04_BT0418,42184,CLG20513
INDOBT_BT04_BT0419,42161,CLG20514
INDOBT_BT04_BT0420,42165,CLG20515
INDOBT_BT04_BT0421,42163,CLG20516
INDOBT_BT04_BT0422,42168,CLG20517
INDOBT_BT04_BT0423,42176,CLG20518
INDOBT_BT04_BT0424,42172,CLG20519
INDOBT_BT04_BT0425,42192,CLG20520
INDOBT_BT04_BT0426,42455,CLG20521
INDOBT_BT04_BT0427,42111,CLG20300
INDOBT_BT04_BT0428,42162,CLG20323
INDOBT_BT04_BT0429,42194,CLG20522
INDOBT_BT04_BT0430,42193,CLG20523
INDOBT_BT04_BT0431,42174,CLG20524
INDOBT_BT04_BT0432,42183,CLG20327
INDOBT_BT04_BT0433,42453,CLG20525
INDOBT_BT04_BT0434,42171,CLG20310
INDOBT_BT04_BT0435,42181,CLG20528
INDOBT_BT05_BT05,15118,TGR10000
INDOBT_BT05_BT0501,15610,TGR10101
INDOBT_BT05_BT0502,15122,TGR10046
INDOBT_BT05_BT0503,15125,TGR10047
INDOBT_BT05_BT0504,15138,TGR10048
INDOBT_BT05_BT0505,15710,TGR10102
INDOBT_BT05_BT0507,15148,TGR10049
INDOBT_BT05_BT0509,15730,TGR10103
INDOBT_BT05_BT0510,15810,TGR10104
INDOBT_BT05_BT0511,15620,TGR10134
INDOBT_BT05_BT0512,15720,TGR10119
INDOBT_BT05_BT0513,15133,TGR10050
INDOBT_BT05_BT0514,15610,TGR10120
INDOBT_BT05_BT0516,15115,TGR10052
INDOBT_BT05_BT0517,15810,TGR10133
INDOBT_BT05_BT0518,15530,TGR10121
INDOBT_BT05_BT0519,15212,TGR10122
INDOBT_BT05_BT0520,15620,TGR10106
INDOBT_BT05_BT0521,15550,TGR10105
INDOBT_BT05_BT0523,15820,TGR10107
INDOBT_BT05_BT0524,15530,TGR10108
INDOBT_BT05_BT0525,15550,TGR10132
INDOBT_BT05_BT0526,15121,TGR10054
INDOBT_BT05_BT0527,15336,TGR10123
INDOBT_BT05_BT0528,15570,TGR10110
INDOBT_BT05_BT0529,15710,TGR10124
INDOBT_BT05_BT0530,15560,TGR10109
INDOBT_BT05_BT0531,15132,TGR10055
INDOBT_BT05_BT0533,15540,TGR10111
INDOBT_BT05_BT0534,15520,TGR10112
INDOBT_BT05_BT0535,15520,TGR10131
INDOBT_BT05_BT0536,15540,TGR10128
INDOBT_BT05_BT0537,15730,TGR10127
INDOBT_BT05_BT0538,15530,TGR10125
INDOBT_BT05_BT0539,15610,TGR10126
INDOBT_BT05_BT0540,15118,TGR10000
INDOBT_BT05_BT0541,15510,TGR10114
INDOBT_BT05_BT0542,15720,TGR10100
INDOBT_BT06_JK0914,15414,TGR10117
INDOBT_BT06_JK0915,15412,TGR10135
INDOBT_BT06_JK0916,15415,TGR10116
INDOBT_BT06_JK0917,15223,TGR10115
INDOBT_BT06_JK0918,15153,TGR10036
INDOBT_BT06_JK0919,15157,TGR10057
INDOBT_BT06_JK0920,15155,TGR10053
INDOBT_BT06_BT0508,15344,TGR10118
INDOBT_BT06_BT0605,15310,TGR10113
INDOBT_BT06_BT0606,15320,TGR10130
INDOBT_BT06_BT0607,15315,TGR10129
INDOBT_BT07_BT0532,15142,TGR10056
INDOJB_JB03_JB03,40266,BDO10045
INDOJB_JB03_JB0301,40184,BDO10041
INDOJB_JB03_JB0302,40291,BDO10038
INDOJB_JB03_JB0303,40293,BDO10042
INDOJB_JB03_JB0304,40379,BDO10101
INDOJB_JB03_JB0305,40241,BDO10043
INDOJB_JB03_JB0306,40222,BDO10044
INDOJB_JB03_JB0307,40375,BDO10102
INDOJB_JB03_JB0308,40266,BDO10045
INDOJB_JB03_JB0309,40212,BDO10046
INDOJB_JB03_JB0310,40114,BDO10047
INDOJB_JB03_JB0311,40273,BDO10048
INDOJB_JB03_JB0312,40232,BDO10049
INDOJB_JB03_JB0313,40236,BDO10050
INDOJB_JB03_JB0314,40288,BDO10104
INDOJB_JB03_JB0315,40287,BDO10056
INDOJB_JB03_JB0316,40238,BDO10105
INDOJB_JB03_JB0317,40122,BDO10051
INDOJB_JB03_JB0318,40124,BDO10052
INDOJB_JB03_JB0319,40614,BDO10002
INDOJB_JB03_JB0321,40172,BDO10053
INDOJB_JB03_JB0323,40617,BDO10108
INDOJB_JB03_JB0324,40626,BDO10109
INDOJB_JB03_JB0325,40374,BDO10110
INDOJB_JB03_JB0326,40191,BDO10111
INDOJB_JB03_JB0327,40294,BDO10062
INDOJB_JB03_JB0328,40222,BDO10044
INDOJB_JB03_JB0329,40973,BDO10113
INDOJB_JB03_JB0330,40131,BDO10054
INDOJB_JB03_JB0331,40239,BDO10114
INDOJB_JB03_JB0332,40294,BDO10063
INDOJB_JB03_JB0334,40921,BDO10118
INDOJB_JB03_JB0335,40386,BDO10116
INDOJB_JB03_JB0336,40283,BDO10055
INDOJB_JB03_JB0337,40911,BDO10131
INDOJB_JB03_JB0338,40265,BDO10040
INDOJB_JB03_JB0339,40195,BDO10064
INDOJB_JB03_JB0340,40214,BDO10120
INDOJB_JB03_JB0341,40226,BDO10121
INDOJB_JB03_JB0343,40378,BDO10125
INDOJB_JB03_JB0344,40614,BDO10065
INDOJB_JB03_JB0345,40972,BDO10127
INDOJB_JB03_JB0346,40973,BDO10128
INDOJB_JB03_JB0348,40292,BDO10057
INDOJB_JB03_JB0349,40254,BDO10058
INDOJB_JB03_JB0351,40914,BDO10100
INDOJB_JB03_JB0352,40162,BDO10059
INDOJB_JB03_JB0353,40117,BDO10060
INDOJB_JB03_JB0354,40611,BDO10018
INDOJB_JB03_JB0355,40377,BDO10103
INDOJB_JB03_JB0357,40385,BDO10123
INDOJB_JB03_JB0358,40376,BDO10124
INDOJB_JB03_JB0360,40142,BDO10039
INDOJB_JB03_JB0361,40153,BDO10037
INDOJB_JB04_JB0401,40561,BDO21002
INDOJB_JB04_JB0402,40562,BDO21012
INDOJB_JB04_JB0403,40556,BDO21003
INDOJB_JB04_JB0404,40562,BDO21004
INDOJB_JB04_JB0405,40554,BDO21006
INDOJB_JB04_JB0406,40564,BDO21007
INDOJB_JB04_JB0407,40565,BDO21009
INDOJB_JB04_JB0408,40391,BDO21001
INDOJB_JB04_JB0409,40552,BDO21000
INDOJB_JB04_JB0410,40553,BDO21010
INDOJB_JB04_JB0411,40559,BDO21013
INDOJB_JB04_JB0412,40566,BDO21014
INDOJB_JB04_JB0413,40563,BDO21011
INDOJB_JB04_JB0414,40558,BDO21005
INDOJB_JB04_JB0415,40551,BDO21008
INDOJB_JB04_JB0417,40561,BDO21016
INDOJB_JB10_JB10,40523,BDO20100
INDOJB_JB10_JB1001,40531,BDO20117
INDOJB_JB10_JB1002,40523,BDO20100
INDOJB_JB10_JB1003,40513,BDO20119
INDOJB_JB19_JB19,45322,BDO20253
INDOJB_JB19_JB1901,45392,BDO20201
INDOJB_JB19_JB1902,45375,BDO20203
INDOJB_JB19_JB1903,45353,BDO20205
